entrez_id	moderated_t
780	-0.0235089348048216
5982	0.311757510530597
3310	-2.24298044499887
7849	-1.85759038376555
2978	2.04490973292284
7318	-1.19396721514389
7067	2.29349371066227
11099	-1.39227332852843
6352	-0.56349166873987
1571	1.36097506552608
2049	1.30338036148647
2101	8.69036352207377
1548	-0.61450675649568
2621	0.213381233241784
4323	-0.693933086221673
8717	-4.77763142336812
2342	-4.18682382363314
5337	-1.63663724607053
441263	2.77020654538985
572	3.47826382209378
10594	0.154997021596633
826	2.50694859933239
11224	10.8922542518981
6158	3.21671137590354
1982	0.383941118876964
8664	4.8096537544968
11315	2.83217710641982
6727	2.98149661703166
2665	-2.19414659224014
6135	4.89398907701122
377	1.21239654153095
6144	-0.293955764330563
6152	9.69621637221451
3183	4.57596328016604
4735	-2.30395325576543
3178	3.21746839207153
6233	5.55664570284728
6207	5.08383103831548
2197	5.25423188084988
23435	-0.948409787382322
1072	3.28833666284983
6141	1.82906533743097
8665	3.46777330528893
6193	2.94827261166117
6155	7.52560958561561
6164	5.80818930589023
4677	2.45224987344591
56910	-1.32871245408517
6143	4.45624954009396
5250	2.23362056498548
6205	6.91131973402412
6133	3.45180318135368
1655	-3.74983242002307
6128	5.21576491601148
23399	0.365007282778966
4736	6.73529983754013
11335	1.94138352080758
6139	4.38827940360514
5690	1.9199855546773
10657	-1.39802242640914
7919	-0.244276900210576
51493	0.104578623320075
2079	-1.0554988697281
8683	-3.01547111544203
23	4.67639011752414
1603	-0.268088992896593
7528	-2.12097662625195
10899	1.70185457322347
11143	-1.87494167697815
7705	3.9986442958883
9092	1.64385068839115
3608	1.53548534539084
9552	-0.53288670773233
8882	3.05841756290188
6881	6.20858752388637
10438	0.974949507158777
4841	4.08946313192015
23020	-0.49440200209798
387	1.71416192040601
10921	-0.283486631402967
6229	3.62611931013391
6156	6.13315152926897
4869	5.10800670541921
3326	3.94554093868192
375	0.25552430416542
3550	5.91605574732609
8724	-3.37246669752987
821	2.05935077887701
9733	-1.53547307335397
27013	1.44384814410218
10285	-0.247219280110353
4670	2.90522542502435
3184	-0.31270153502589
9045	5.53544420668965
2987	2.67621207037335
79036	3.36217011082652
4946	1.65404617542727
533	2.51139763238588
3735	3.52680206070447
3020	3.83949592107263
6194	5.59265052173374
6201	6.30744119425165
23326	0.637045693015724
10944	0.24272313115869
6923	6.03221979728553
1327	1.80622160637499
10959	-2.07444419167393
6136	7.34001322626468
6124	8.35809953351703
2339	-0.456522696427173
6230	5.67560021902458
6167	8.03596154027699
3094	6.81224214980453
1938	5.57168859267167
6204	8.54307221843381
8992	3.92137669283533
3190	2.3084644954926
51433	-0.686652331632147
6189	5.56762370369341
3192	1.7251016286125
8661	-0.0357336591156947
7184	-2.5392468509449
4478	0.0872760374472482
81	-0.00639626164216234
351	-1.49654706933422
5573	-2.23045768861839
1832	-1.95249945355645
5885	-0.592410433083017
9948	0.288645058165747
4691	2.21361004567091
163	-1.44094670123143
1173	4.56429168860474
1213	-0.944068442114157
9761	0.538940481893995
3927	-2.82691389387066
10992	2.53816540545741
9528	-0.933324035226997
1465	4.02679552913995
805	0.0542232434975364
808	2.92194185085929
9782	1.05103765597648
10487	-1.81136593355508
10728	-1.31775774020145
7453	0.783354361481096
6418	7.77911164935204
10397	2.54293249103424
7314	-2.53220322318016
5216	3.75566171703086
5792	-2.01376101651135
7534	0.248651494315663
6647	5.7203675568559
3069	0.424253817993927
65108	0.511941949361987
11337	-3.02973090960438
4924	3.41120276540971
8663	2.42002052614104
2752	-4.66115378400067
3939	4.04425609414752
10399	4.58678648080831
6746	4.88154508983669
801	-3.37353372003413
5034	3.11641216090258
292	3.7335900368553
5245	4.88117005971008
6282	-2.26663220021233
5476	-1.192732557674
9804	4.65643835667433
967	-0.055797914850206
3337	-3.37121631540288
6678	-1.12552844084424
7323	-0.709934998886731
7494	-2.07416380837189
6711	0.00577616218404377
9741	-1.65830974702579
6161	12.2452108171708
975	-6.76935841302232
7332	-0.658021957876227
754	-0.461776910331395
2896	-0.757613104924283
3146	-3.7434432911331
2739	-0.752442816521795
9295	-1.97803377036842
23450	1.41630068622163
1937	6.17640427681901
3313	6.03452294100754
10971	2.79592000852462
57062	0.105329855206646
5518	7.9040252853275
2934	-4.77054364530505
3098	-3.32591627032628
11014	-4.01066925054729
10577	-6.00406517270701
8655	2.05020143738862
9516	-0.139289880776789
1933	5.50857962849698
5589	4.70099407938537
2806	1.29884560793521
2280	-1.41634503329855
37	-5.26293157328784
6500	1.69285368586806
22919	-1.6856710530355
10956	-0.43199885252835
23521	7.12196065530175
6129	4.12314452571851
10121	-1.58043178431375
4076	1.1770071221001
6134	-0.545460788766455
5501	0.952870417370047
10097	-4.49722123903306
7803	-0.865250432038219
4666	2.31691980019227
2876	-1.11940053257792
5230	2.40021511406349
6612	0.613424656836965
6232	8.35107872842719
1200	-2.04126405918105
2782	-1.44920599262839
4926	0.444533600407075
2495	-4.36505854452966
5901	4.34720505614531
823	4.2918288600182
6427	-2.94827133405594
813	1.47024981782699
4779	-1.01754391622963
10550	-0.921032989781793
1808	-3.65630633907765
6176	8.30792706139916
1495	-1.35022259638262
1509	-2.22676693854003
23196	1.31310089067797
4144	1.69569749201068
3915	3.70050158319481
5757	5.47553195043825
9689	1.36702889637494
468	1.77351474198783
2778	0.780611374043574
6210	1.26230783893135
308	-0.847842753838507
3925	-0.533283515308863
4035	-7.15786838460213
5695	6.93353667310533
8682	-0.242110963418278
1891	2.85598104921586
4953	1.25766214871411
8826	-2.95780445737219
2547	0.047968944632973
50	-1.80947136695471
9802	-1.37713558456218
8404	-6.13351176822779
4170	-3.34676993016541
3303	-4.63661272710354
60	-1.65833738456412
6301	-0.447582262938913
7009	-0.257317460091627
10960	1.33319774458577
3329	2.57013689529232
7791	-4.41665820247697
1153	1.76691317614905
10574	5.22350012181904
5048	-0.433727188176823
5720	3.1461930011719
539	6.8693149705861
6209	7.55323335722912
5714	5.39955290789564
3920	-1.20576699213602
7167	2.61078575544685
6159	10.5548158128337
2950	-0.464790466710026
10525	0.617269557116189
6633	7.36647531512985
5351	-2.28693910309115
7756	-0.568718635420354
5708	7.24575296675021
6319	-2.9916893549157
5908	-0.670258165896353
6227	5.76307081092883
4134	3.71979629212402
10134	3.48806952980727
1508	-7.66889608503774
2058	1.94105540214726
9588	3.47917868839902
5499	1.06077249130781
51669	-2.12516366115016
10768	-1.88555003516015
9798	-1.48940403592676
2783	1.18043223372618
3015	1.2207582443403
9611	-1.46623618411491
6202	3.67490813509513
2316	0.741688535234377
23019	1.55588522554565
1718	1.18280825043891
8766	1.194271816926
5660	-3.99218425787066
55905	-0.0082861170172868
6142	6.99050576459832
11171	1.63023344941948
6281	-0.756641214107268
10694	4.0251325799948
10528	5.05442942043966
5689	1.22835366369329
10575	4.60605647577062
2034	-3.78145446951406
3301	0.987556884331592
5710	4.96918426287387
7385	-0.207832117923922
1152	0.588146090450148
333926	2.12560820310065
5223	1.66715626917525
6772	0.617643396792912
9349	3.73430192197243
6745	-1.04498393586036
